Date,Open,High,Low,Close,Volume
27-Feb-19,1628.18,1641.81,1615.10,1641.09,3148800
26-Feb-19,1625.98,1639.99,1616.13,1636.40,2665800
25-Feb-19,1641.45,1654.60,1630.39,1633.00,3184500
22-Feb-19,1623.50,1634.94,1621.17,1631.56,3096200
21-Feb-19,1619.85,1623.56,1600.91,1619.44,3483400
20-Feb-19,1630.00,1634.93,1610.12,1622.10,3337600
19-Feb-19,1601.00,1634.00,1600.56,1627.58,3681700
15-Feb-19,1627.86,1628.91,1604.50,1607.95,4343900
14-Feb-19,1624.50,1637.90,1606.06,1622.65,4120500
13-Feb-19,1647.00,1656.38,1637.11,1640.00,3560300
12-Feb-19,1604.00,1639.40,1598.88,1638.01,4858600
11-Feb-19,1600.98,1609.29,1586.00,1591.00,3317300
08-Feb-19,1586.00,1588.59,1566.76,1588.22,5657500
07-Feb-19,1625.00,1625.54,1592.91,1614.37,4626600
06-Feb-19,1670.75,1672.26,1633.34,1640.26,3939900
05-Feb-19,1643.34,1665.26,1642.50,1658.81,4453100
04-Feb-19,1623.00,1649.63,1613.50,1633.31,4929100
01-Feb-19,1638.88,1673.06,1622.01,1626.23,11506200
