Date,Open,High,Low,Close,Volume
28-Feb-19,7.2,7.4,7.06,7.07,96978238
27-Feb-19,7.05,7.28,7.04,7.2,110294814
26-Feb-19,6.87,7.28,6.87,7.07,115534803
25-Feb-19,7.03,7.07,6.81,6.92,127572181
22-Feb-19,6.67,7.13,6.67,7191030111
21-Feb-19,6.35,6.73,6.26,6.67,294755357
20-Feb-19,5.72,5.96,5.72,5.96,68872635
19-Feb-19,5.79,5.82,5.71,5.73,35730520
18-Feb-19,5.78,5.88,5.77,5.82,41248654
15-Feb-19,5.85,5.89,5.7,5.73,38272252
14-Feb-19,5.86,5.95,5.84,5.88,43866758
13-Feb-19,5.98,5.98,5.8,5.82,61427642
12-Feb-19,5.91,6.03,5.88,5.95,50236736
11-Feb-19,5.81,5.99,5.78,5.95,57671853
08-Feb-19,5.71,5.88,5.71,5.85,22648973
04-Feb-19,5.82,5.87,5.78,5.84,7364133
01-Feb-19,5.75,5.85,5.7,5.85,42469896


